stunting,wasting,underweight,overweight,stunting_avg,wasting_avg,underweight_avg,undernourishment_pct
41.38439,2.4198823,5.9344873,10.501349,33.764626,2.7509742,6.628913,20.105907
44.54029,11.791021,28.091393,1.9361382,43.567375,11.40834,27.43594,14.90382
13.739369,6.7708387,4.271243,1.935101,14.658733,8.234251,4.248749,9.593417
13.741551,2.0781121,14.863536,10.501349,14.658733,2.5512695,4.192395,3.2156239
13.796905,2.5364456,10.228409,10.501349,14.666802,2.5512118,4.414548,17.25969
14.437301,7.2132163,4.999755,10.4893675,39.614124,6.869406,19.262367,4.7823277
13.745733,3.3678453,8.288489,10.501349,14.659377,2.7098184,4.2359304,5.575152
14.171198,2.0415783,15.70525,10.501168,14.670146,2.5453744,4.2602654,4.7994733
41.633713,1.9962296,5.3761625,10.501196,31.435009,2.5454001,4.9714766,20.788738
13.739369,3.349666,4.6682253,10.500848,14.658733,3.5349393,4.193165,7.0043955
44.349533,1.9947858,9.368471,1.9417171,41.985233,2.545147,8.709473,20.788712
44.320133,1.9947891,5.3858995,9.431069,37.9696,2.5451417,5.1998634,20.788738
37.401733,11.565344,19.917398,10.501349,35.54207,10.086111,16.931566,4.905554
44.54029,11.791021,28.091393,10.501233,43.567375,11.40834,27.43594,20.778309
44.53978,1.9947882,25.558186,1.935091,43.56575,2.5463767,21.191025,20.788738
44.540283,1.9949818,8.15486,1.9350924,43.565544,2.5451417,6.5832205,20.788738
44.43259,11.790976,3.6494837,10.501349,18.458172,2.5453653,4.192734,20.788738
13.739369,6.1938047,5.786133,1.9497571,14.658733,3.813545,4.195381,8.221187
15.295549,2.0520782,3.7448483,10.438293,42.94995,7.206787,16.749367,20.173037
13.739369,4.508843,6.2298975,1.9351034,14.658839,6.532259,5.8461533,7.9926558
15.501748,10.416605,16.979332,10.501349,14.850869,4.102625,4.4205294,5.1074243
13.739374,6.0416226,6.2670403,10.501346,14.658842,9.291958,4.50665,8.086481
44.54029,1.9947834,23.11318,1.935091,43.567368,2.5452647,19.84535,20.788738
44.539154,11.79101,28.091297,1.9352078,43.55899,11.408327,27.435833,6.109595
44.54029,11.791021,28.091393,1.9358406,43.34722,11.40834,27.43594,9.528786
33.14202,5.224915,3.8871708,10.501349,24.768623,2.675601,4.4389734,20.788738
44.54029,11.791021,28.091393,1.9395475,43.567375,11.40834,27.43594,20.74725
13.744186,11.790338,28.083015,1.935091,14.963185,11.408306,27.423822,8.489337
44.54029,11.791021,28.091393,10.501284,43.567375,11.40834,27.43594,20.788702
14.577325,2.071381,18.512001,10.501338,15.840762,3.1898189,8.76486,4.1099577
13.827645,2.0026016,8.724726,10.468373,15.270296,2.763475,5.5371513,4.304064
44.54029,11.791021,28.091393,2.210822,43.567364,11.40834,27.43594,20.788738
41.956825,11.748358,25.620174,10.501349,32.245655,10.965829,8.254139,4.328387
13.739369,1.9984016,4.3099756,1.935091,14.658733,2.545177,4.192271,8.065998
44.540283,11.791021,28.091393,1.9360676,43.567173,11.40834,27.43594,11.014692
44.54029,11.791021,28.091393,9.823089,43.567375,11.40834,27.43594,20.78841
44.54029,11.791021,28.091393,1.9355841,43.567375,11.40834,27.43594,20.739695
44.25464,11.791021,28.091393,4.3927484,31.545353,11.40834,27.43594,20.788729
42.723335,1.9964919,8.766745,10.501349,15.097186,2.5451417,4.192771,3.1138144
13.741062,1.9949465,4.0358133,10.4793005,14.658998,2.545158,4.196003,3.801134
41.089737,2.0006123,6.4381285,10.501349,29.569544,2.5487995,7.071207,20.788727
22.765844,3.457537,9.858202,10.501349,27.169697,3.964813,6.333564,4.389546
44.54029,11.791021,28.091393,5.4512486,43.567368,11.40834,27.43594,7.081133
37.39724,1.9950318,4.4989405,2.0633082,25.776379,2.5463433,7.598119,20.788738
43.54177,1.9948401,11.776034,1.9351063,43.41365,2.5501223,14.044754,8.002866
13.739369,4.0094595,4.0684557,10.501349,14.658733,4.99483,4.192271,5.363435
13.743995,2.2228684,5.5898056,1.935091,39.46216,9.683516,22.96211,4.69565
17.109365,1.9959006,4.7809916,1.9357033,43.419926,4.4567795,22.833082,20.780012
21.472872,1.9947834,7.2556953,1.9513164,14.78155,2.5451417,4.487693,20.775906
13.739983,5.556937,6.7360935,10.501349,14.662607,6.014229,4.675374,5.6852884
44.539764,11.787262,28.091278,1.9351835,43.56737,11.40834,27.435898,4.4077578
44.54029,1.9947834,4.405944,1.9350967,43.563705,2.5451417,4.3186035,20.788738
13.790919,2.745245,8.655855,10.450793,15.126321,4.1023874,9.271116,5.382463
27.885376,8.483146,3.6752224,10.501349,36.973892,7.918897,4.4605,20.788374
14.33974,2.529673,12.4624405,10.501349,14.659335,2.5817738,4.1937304,2.971054
